:nemesis	:info	:start-partition	:majority
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	4216469197430621000
2	:ok	:generate	4250122458628260400
1	:invoke	:generate	nil
1	:ok	:generate	4332640472650790000
0	:ok	:generate	2659744531833775600
:nemesis	:info	:start-partition	[:isolated {"n2" #{"n1" "n0"}, "n1" #{"n2"}, "n0" #{"n2"}}]
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	9150149476224284000
0	:invoke	:generate	nil
2	:ok	:generate	6826326553113184000
0	:ok	:generate	8362091212876416000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	8656244086760648000
1	:ok	:generate	8041357428722976000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	8132710212152875000
0	:ok	:generate	4101575889645858300
0	:invoke	:generate	nil
0	:ok	:generate	7131902379897515000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	2184804058378394000
2	:ok	:generate	933061899962050000
0	:ok	:generate	7815316703448494000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	347294350024036300
2	:invoke	:generate	nil
1	:ok	:generate	6518467283993703000
2	:ok	:generate	5898598290338166000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	2031236415729003500
1	:ok	:generate	4330865542630876000
1	:invoke	:generate	nil
1	:ok	:generate	770451799002663800
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	1742336718290259500
0	:ok	:generate	3524976410730410000
0	:invoke	:generate	nil
0	:ok	:generate	6906191950452669000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	3631048899900868000
2	:ok	:generate	2462239228965273600
0	:invoke	:generate	nil
0	:ok	:generate	6500817178573752000
0	:invoke	:generate	nil
0	:ok	:generate	7038947117034521000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
2	:ok	:generate	7517511957453820000
1	:ok	:generate	3922031470886091300
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	5606396183576834000
2	:invoke	:generate	nil
1	:ok	:generate	2383953379880079400
0	:invoke	:generate	nil
2	:ok	:generate	5134552611867679000
0	:ok	:generate	4834001573664423000
0	:invoke	:generate	nil
0	:ok	:generate	1323093370535367700
0	:invoke	:generate	nil
0	:ok	:generate	7446114084451907000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	7533163997401243000
2	:ok	:generate	7931644440279050000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	4798760561822967000
1	:ok	:generate	1106862654783943400
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	4326849501073163000
0	:invoke	:generate	nil
2	:ok	:generate	7356639016371442000
0	:ok	:generate	2373453457981380600
0	:invoke	:generate	nil
0	:ok	:generate	4047869502885675500
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	8498115241159444000
2	:ok	:generate	4959088244159571000
0	:ok	:generate	5176188051747124000
0	:invoke	:generate	nil
0	:ok	:generate	570723684864530300
1	:invoke	:generate	nil
1	:ok	:generate	6800123858512153000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	2919329975027699700
0	:ok	:generate	7312466023172319000
1	:ok	:generate	686536334424802200
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	1237888920765398300
0	:invoke	:generate	nil
2	:ok	:generate	3340280243311203000
0	:ok	:generate	1785958877464926700
0	:invoke	:generate	nil
0	:ok	:generate	8829956728519575000
1	:invoke	:generate	nil
1	:ok	:generate	6507674499058129000
2	:invoke	:generate	nil
2	:ok	:generate	5712610832055085000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	5966167973134098000
1	:ok	:generate	8955243198976024000
1	:invoke	:generate	nil
1	:ok	:generate	6259713884649513000
2	:invoke	:generate	nil
2	:ok	:generate	4863482058514398000
0	:invoke	:generate	nil
0	:ok	:generate	6135869444703690000
0	:invoke	:generate	nil
0	:ok	:generate	1676168668093334300
1	:invoke	:generate	nil
1	:ok	:generate	7042279523882208000
2	:invoke	:generate	nil
2	:ok	:generate	3647128594729377300
0	:invoke	:generate	nil
0	:ok	:generate	281332622251318200
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	326604986307540000
1	:ok	:generate	3430077259881026600
2	:invoke	:generate	nil
2	:ok	:generate	2582073411375529000
0	:invoke	:generate	nil
0	:ok	:generate	1893035499756296000
0	:invoke	:generate	nil
0	:ok	:generate	5548164233522719000
1	:invoke	:generate	nil
1	:ok	:generate	8837191715035900000
2	:invoke	:generate	nil
2	:ok	:generate	3355572095708591600
0	:invoke	:generate	nil
0	:ok	:generate	1058528298483177200
0	:invoke	:generate	nil
0	:ok	:generate	4379079155724930000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	2914006718087046700
2	:ok	:generate	545937646173768500
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	2081431006793828400
1	:ok	:generate	3135616863585445000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	5655013415553843000
2	:ok	:generate	4976986455365490000
0	:invoke	:generate	nil
0	:ok	:generate	4927400016575346000
0	:invoke	:generate	nil
0	:ok	:generate	8780246468498914000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	6267022103750082000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	5172603827493597000
2	:invoke	:generate	nil
0	:ok	:generate	2966363601544159700
1	:ok	:generate	5365388697339696000
2	:ok	:generate	9046617363366842000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	213985114342675260
